ImageName,Age,Gender,Race,Expression,Glass,beauty
000692.jpg,29,-1,2,-1,-1,59.91
000699.jpg,25,-1,2,-1,-1,74.38
000710.jpg,40,1,2,1,1,54.63
000715.jpg,25,-1,2,-1,-1,83.56
000717.jpg,22,-1,1,-1,-1,71.13
000718.jpg,32,-1,2,1,-1,63.47
000721.jpg,29,-1,2,1,-1,70.69
000723.jpg,27,1,2,1,-1,63.41
000728.jpg,31,1,2,1,-1,58.78
000735.jpg,38,1,3,-1,-1,22.55
000737.jpg,32,-1,2,1,-1,49.34
000771.jpg,39,-1,2,1,-1,48.13
000773.jpg,35,1,2,1,-1,57.59
000775.jpg,52,1,2,1,-1,45.66
000780.jpg,32,1,2,1,-1,60.16
000801.jpg,36,1,2,1,-1,52.03
000809.jpg,39,-1,2,1,-1,53.53
000812.jpg,23,-1,2,-1,-1,63.06
000814.jpg,30,-1,2,1,-1,55.19
000825.jpg,31,1,2,1,-1,54.19
000834.jpg,30,-1,2,1,-1,72.25
000836.jpg,53,1,2,1,-1,25.58
000849.jpg,36,-1,2,1,-1,36.19
000860.jpg,38,1,2,-1,-1,65.88
000865.jpg,34,-1,2,1,-1,59.75
000868.jpg,31,-1,2,-1,-1,68.31
000877.jpg,31,-1,2,1,-1,74.88
000881.jpg,37,1,2,-1,-1,41.63
000885.jpg,33,1,2,-1,-1,70.75
000890.jpg,27,-1,2,1,-1,72.81
000892.jpg,48,1,2,1,-1,48.84
000896.jpg,32,-1,2,1,-1,72.94
000900.jpg,32,-1,2,1,-1,60
000901.jpg,25,-1,2,-1,-1,39.31
000902.jpg,68,1,2,1,1,19
000903.jpg,55,1,2,-1,-1,47.78
000922.jpg,29,-1,2,1,-1,66.94
000930.jpg,37,1,2,1,1,48.69
000940.jpg,26,-1,2,1,-1,68.5
000942.jpg,29,-1,2,-1,-1,58.94
000949.jpg,28,-1,2,-1,-1,36.03
000969.jpg,66,1,2,-1,-1,42.13
000986.jpg,35,-1,2,1,-1,50.84
000989.jpg,27,-1,2,1,-1,78.81
000990.jpg,29,1,2,-1,-1,66.94
000991.jpg,25,-1,2,1,-1,66.69
001005.jpg,24,-1,2,-1,-1,70.19
001011.jpg,31,-1,2,1,-1,58.16
001017.jpg,23,-1,1,-1,-1,60
001020.jpg,32,1,2,1,-1,63.03
001021.jpg,28,-1,2,-1,-1,70.88
001022.jpg,37,1,2,-1,-1,48.84
001025.jpg,29,-1,2,1,-1,58.13
001029.jpg,32,-1,2,1,-1,58.44
001036.jpg,41,1,2,1,-1,60.56
001050.jpg,31,-1,2,1,-1,59.72
001054.jpg,26,-1,2,-1,-1,62.06
001055.jpg,57,1,2,-1,-1,58.41
001057.jpg,49,1,2,-1,-1,55.88
001060.jpg,33,-1,2,1,-1,51.72
001064.jpg,23,-1,2,-1,-1,74.38
001074.jpg,44,1,2,-1,-1,44.78
001077.jpg,27,-1,2,-1,-1,73.38
001086.jpg,37,-1,2,1,-1,53.34
001092.jpg,42,1,2,-1,-1,33.84
001116.jpg,30,-1,2,-1,-1,58.59
001125.jpg,26,-1,2,2,-1,56.06
001131.jpg,38,-1,2,1,-1,40.97
001133.jpg,27,-1,2,-1,-1,72.75
001134.jpg,26,-1,2,-1,-1,64.69
001138.jpg,23,-1,2,-1,-1,62.41
001141.jpg,24,-1,2,-1,-1,54.75
001144.jpg,22,-1,2,-1,-1,57.59
001148.jpg,31,-1,2,1,-1,49.16
001174.jpg,33,-1,2,1,-1,58.59
001176.jpg,31,-1,2,1,-1,59.28
001182.jpg,22,1,1,-1,-1,72.56
001189.jpg,44,1,2,-1,-1,57.72
001195.jpg,23,-1,2,-1,-1,68.88
001210.jpg,33,1,2,-1,-1,66.31
001242.jpg,35,1,3,1,-1,42.69
001262.jpg,27,-1,2,-1,-1,73.19
001267.jpg,30,-1,2,-1,-1,73.88
001269.jpg,26,-1,2,-1,-1,74.31
001284.jpg,27,-1,2,1,-1,38.09
001291.jpg,46,1,2,1,-1,49.75
001316.jpg,31,1,2,1,-1,69.56
001330.jpg,24,-1,1,-1,-1,68.19
001332.jpg,28,-1,2,-1,-1,64.63
001336.jpg,24,-1,2,1,-1,62.25
001337.jpg,35,1,2,1,-1,63.38
001339.jpg,35,1,2,1,-1,62.63
001346.jpg,24,-1,2,-1,-1,70.13
001349.jpg,32,-1,2,1,-1,77.94
001354.jpg,38,1,2,-1,-1,46.28
001356.jpg,64,1,2,-1,-1,42.22
001367.jpg,32,-1,2,1,-1,60.28
001379.jpg,32,-1,2,-1,-1,66.13
001382.jpg,25,-1,2,-1,-1,63.41
001387.jpg,32,-1,2,1,-1,63.75
001395.jpg,24,-1,1,-1,-1,38.09
001406.jpg,36,-1,2,-1,-1,70.44
001409.jpg,37,-1,2,1,-1,57.19
001410.jpg,24,-1,2,-1,-1,48.91
001411.jpg,32,-1,2,1,-1,52.22
001418.jpg,32,1,2,-1,-1,58.34
001420.jpg,64,1,2,-1,-1,32.34
001422.jpg,32,-1,1,1,-1,58.53
001428.jpg,26,-1,2,-1,-1,73.69
001431.jpg,24,-1,2,-1,-1,56.28
001434.jpg,33,-1,2,1,-1,79.38
001435.jpg,42,1,2,1,1,47.66
001437.jpg,25,-1,2,-1,-1,67.13
001442.jpg,31,-1,2,-1,-1,69.38
001446.jpg,27,-1,2,-1,-1,65.63
001449.jpg,34,-1,2,1,-1,61.59
001451.jpg,36,1,2,1,-1,62.81
001456.jpg,34,1,2,-1,-1,73.81
001457.jpg,33,1,2,-1,1,58.28
001463.jpg,50,1,2,1,-1,68.63
001467.jpg,43,1,2,1,-1,61.84
001475.jpg,33,-1,2,1,-1,65.94
001478.jpg,23,-1,2,-1,-1,42.66
001486.jpg,27,-1,2,-1,-1,79.5
001487.jpg,27,-1,1,1,-1,51.03
001488.jpg,29,-1,2,1,-1,61.19
001496.jpg,30,-1,2,-1,-1,63.94
001500.jpg,33,-1,2,1,-1,48.84
001502.jpg,34,-1,2,1,-1,50.88
001503.jpg,33,-1,2,1,-1,57.09
001525.jpg,29,-1,2,1,-1,70.56
001542.jpg,29,-1,2,-1,-1,73.19
001543.jpg,68,1,2,2,-1,14.74
001545.jpg,27,1,2,1,-1,55.66
001549.jpg,42,-1,2,2,-1,50.03
001550.jpg,38,1,0,1,-1,53.03
001551.jpg,23,-1,1,1,-1,63.63
001558.jpg,40,1,2,2,-1,64.5
001560.jpg,34,-1,3,1,-1,38.38
001568.jpg,32,-1,2,1,-1,37.28
001574.jpg,31,-1,2,1,-1,81.06
001584.jpg,26,-1,2,-1,-1,57.75
001585.jpg,32,-1,2,-1,-1,48.59
001590.jpg,32,-1,2,-1,-1,67.25
001592.jpg,13,-1,2,-1,-1,53.94
001593.jpg,32,-1,2,1,-1,55.16
001597.jpg,33,-1,2,1,-1,47.34
001604.jpg,71,-1,2,-1,-1,36.84
001623.jpg,35,1,2,-1,-1,61.31
001631.jpg,32,-1,2,-1,-1,52.91
001637.jpg,21,-1,1,1,-1,53.69
001643.jpg,25,-1,2,-1,-1,61.47
001644.jpg,33,-1,2,1,-1,65.88
001655.jpg,65,1,2,1,-1,17
001657.jpg,34,-1,2,-1,-1,38.97
001658.jpg,25,-1,2,1,-1,63.06
001663.jpg,25,-1,2,1,-1,65.31
001664.jpg,27,-1,2,-1,-1,77.44
001668.jpg,31,-1,2,1,-1,53.13
001671.jpg,37,-1,2,1,-1,43
001673.jpg,38,-1,2,1,-1,55.56
001677.jpg,23,1,2,-1,-1,70.31
001693.jpg,33,1,2,-1,-1,65.19
001703.jpg,66,1,2,-1,1,41.5
001714.jpg,31,-1,2,1,-1,68.44
001734.jpg,26,-1,2,1,-1,52.13
001738.jpg,36,1,2,-1,-1,61.09
001743.jpg,23,-1,1,1,-1,70.19
001748.jpg,35,-1,2,1,-1,35.44
001752.jpg,26,-1,2,-1,-1,66.13
001756.jpg,27,-1,1,2,1,33.25
001770.jpg,37,-1,2,1,-1,58.09
001778.jpg,31,-1,2,-1,-1,48.09
001788.jpg,36,1,2,-1,-1,67.5
001792.jpg,30,1,2,-1,-1,57.34
001804.jpg,42,1,2,1,-1,62.44
001818.jpg,24,-1,2,1,-1,68.31
001821.jpg,23,-1,1,-1,-1,45.38
001822.jpg,28,-1,2,1,-1,61.94
001834.jpg,32,-1,2,1,-1,59.41
001835.jpg,44,1,2,-1,-1,54.75
001839.jpg,41,1,2,1,-1,49.81
001844.jpg,25,-1,3,1,-1,53.94
001848.jpg,36,1,2,1,-1,57.41
001849.jpg,24,-1,2,-1,-1,66.63
001856.jpg,37,-1,2,1,-1,48.66
001881.jpg,30,-1,2,1,-1,52.94
001891.jpg,30,-1,2,-1,-1,74.06
001905.jpg,50,1,2,-1,-1,42.97
001906.jpg,34,-1,2,1,-1,67.81
001915.jpg,40,-1,2,1,-1,59.44
001927.jpg,38,1,2,1,-1,52.81
001931.jpg,33,-1,2,1,-1,56.5
001945.jpg,32,-1,2,1,-1,74.38
001957.jpg,20,-1,2,-1,-1,70.75
001972.jpg,32,-1,2,2,-1,54.19
001989.jpg,29,-1,2,-1,-1,64.69
002002.jpg,23,-1,2,-1,-1,67.56
002006.jpg,49,1,2,-1,-1,64.19
002007.jpg,34,1,2,1,-1,59.59
002011.jpg,34,-1,2,-1,-1,52.31
002013.jpg,22,1,2,-1,-1,64.88
002018.jpg,34,1,2,1,-1,60.69
002019.jpg,24,-1,2,1,-1,78.5
002021.jpg,28,-1,2,2,-1,77
002022.jpg,48,-1,2,1,-1,28.13
002024.jpg,24,-1,2,-1,-1,74.38
002039.jpg,31,1,2,-1,-1,64.06
002048.jpg,29,-1,2,-1,-1,71.88
002055.jpg,31,1,3,-1,-1,12.7
002061.jpg,26,1,2,-1,1,40.06
002064.jpg,32,-1,3,1,-1,43.88
002066.jpg,32,-1,2,1,-1,62.69
002080.jpg,23,-1,1,1,-1,87
002081.jpg,53,1,2,1,-1,35.38
002083.jpg,37,-1,2,-1,-1,57.91
002086.jpg,31,-1,2,1,-1,76.94
002088.jpg,36,1,2,1,-1,57.16
002093.jpg,41,-1,2,1,-1,43.66
002096.jpg,29,-1,2,1,-1,60.53
002101.jpg,25,-1,1,1,-1,60.94
002102.jpg,42,-1,2,1,-1,71.5
002108.jpg,31,-1,2,1,-1,67
002110.jpg,32,-1,2,-1,-1,66.88
002123.jpg,44,1,1,1,-1,25.67
002135.jpg,36,1,2,-1,1,47.81
002140.jpg,32,-1,2,1,-1,64.63
002141.jpg,67,1,2,-1,-1,41.66
002142.jpg,34,-1,2,1,-1,55.63
002160.jpg,40,1,2,-1,-1,60.16
002162.jpg,40,-1,2,1,-1,54.47
002168.jpg,53,1,2,1,-1,18.83
002170.jpg,32,1,2,-1,-1,71.19
002223.jpg,37,1,2,-1,-1,73.94
002229.jpg,35,1,2,1,-1,51.03
002236.jpg,30,-1,2,1,-1,52.03
002238.jpg,24,-1,2,1,-1,52.03
002254.jpg,51,-1,2,1,-1,60.97
002261.jpg,26,-1,2,1,-1,42.81
002264.jpg,32,-1,2,1,-1,46.81
002277.jpg,35,1,2,-1,-1,62.84
002278.jpg,24,-1,2,-1,-1,67.94
002280.jpg,31,-1,2,-1,-1,49.5
002281.jpg,43,1,2,1,-1,42.16
002283.jpg,22,-1,1,-1,-1,55.59
002290.jpg,44,1,2,1,-1,47.5
002292.jpg,29,-1,2,-1,-1,60.47
002302.jpg,28,-1,2,1,-1,67.31
002306.jpg,25,-1,0,-1,-1,75.13
002317.jpg,46,1,2,1,-1,56.47
002331.jpg,32,-1,2,1,-1,71.44
002341.jpg,64,1,2,1,-1,14.24
002342.jpg,32,-1,2,1,-1,70.81
002355.jpg,34,-1,2,1,-1,66.13
002358.jpg,51,1,2,1,-1,53.25
002359.jpg,37,1,3,1,-1,40.91
002362.jpg,25,-1,2,1,-1,54.47
002378.jpg,24,1,1,-1,-1,77.63
002396.jpg,45,1,2,1,-1,36.59
002398.jpg,40,1,2,-1,-1,58.31
002404.jpg,29,-1,2,-1,-1,76.69
002408.jpg,32,-1,2,1,-1,59.34
002416.jpg,40,1,2,1,-1,38.38
002419.jpg,25,-1,2,-1,-1,57.56
002420.jpg,30,-1,2,1,-1,81.56
002429.jpg,37,-1,2,-1,-1,55.75
002465.jpg,33,1,2,-1,-1,21.11
002468.jpg,23,-1,3,-1,-1,47.09
002469.jpg,28,-1,2,-1,-1,62.63
002475.jpg,23,-1,3,-1,-1,55.44
002478.jpg,22,-1,1,-1,-1,65.38
002484.jpg,31,-1,2,1,-1,66.31
002486.jpg,41,1,0,-1,-1,62.25
002493.jpg,31,-1,2,-1,-1,67.38
002514.jpg,24,-1,1,1,-1,63.03
002518.jpg,25,-1,1,-1,-1,76
002521.jpg,25,-1,2,1,-1,72
002528.jpg,52,1,2,1,-1,38.03
002538.jpg,26,-1,2,-1,-1,63.91
002540.jpg,38,1,2,-1,-1,71
002545.jpg,35,-1,2,1,-1,66.88
002548.jpg,24,-1,2,-1,-1,77.19
002555.jpg,33,-1,0,1,-1,53.75
002558.jpg,24,-1,2,-1,-1,57.56
002569.jpg,31,-1,2,1,-1,67.38
002572.jpg,24,-1,2,1,-1,51.16
002575.jpg,24,1,1,1,-1,66.5
002580.jpg,38,1,2,-1,-1,70
002604.jpg,46,1,2,1,-1,50.31
002608.jpg,37,1,2,-1,-1,52.28
002628.jpg,27,1,2,-1,-1,60.13
002632.jpg,52,1,2,1,-1,17.5
002634.jpg,45,1,2,1,-1,57.69
002640.jpg,32,-1,2,1,-1,50.84
002645.jpg,33,1,2,-1,-1,65.13
002653.jpg,32,-1,2,1,-1,48.31
002663.jpg,25,-1,2,-1,-1,56.63
002665.jpg,44,1,2,1,-1,52.63
002666.jpg,34,-1,2,1,-1,59.13
002672.jpg,33,-1,2,1,-1,45.09
002681.jpg,24,-1,1,1,-1,71.19
002691.jpg,33,-1,2,1,-1,76.75
002700.jpg,51,-1,2,1,-1,70.25
002701.jpg,22,-1,1,1,-1,65.69
002705.jpg,31,-1,2,1,-1,62.44
002708.jpg,41,1,2,1,-1,53.09
002710.jpg,24,-1,2,-1,-1,47.19
002718.jpg,40,1,2,1,-1,53.44
002721.jpg,25,-1,1,1,-1,61.34
002733.jpg,40,1,2,-1,-1,12.88
002736.jpg,35,1,2,-1,-1,68.63
002746.jpg,39,1,2,-1,-1,65.25
002764.jpg,61,1,2,-1,-1,33.84
002768.jpg,47,1,3,1,1,16.03
002776.jpg,32,-1,2,1,-1,55.5
002782.jpg,63,1,2,-1,1,18.41
002786.jpg,19,-1,2,1,-1,40.75
002791.jpg,33,1,2,-1,-1,45.06
002801.jpg,25,-1,2,-1,-1,62.81
002803.jpg,41,1,2,-1,-1,61.31
002805.jpg,37,1,3,-1,-1,51.16
002810.jpg,60,1,2,-1,1,25.09
002822.jpg,29,-1,2,-1,-1,62.94
002826.jpg,10,1,2,-1,-1,57.94
002843.jpg,26,-1,2,-1,-1,68.75
002852.jpg,60,1,2,-1,-1,34.75
002854.jpg,45,-1,2,1,-1,30.31
002855.jpg,27,-1,2,1,-1,52.56
002856.jpg,32,-1,2,1,-1,49.81
002863.jpg,40,1,2,1,-1,56.13
002868.jpg,38,-1,2,-1,-1,59.84
002869.jpg,34,1,2,-1,-1,61.66
002877.jpg,28,-1,2,1,-1,61.44
002909.jpg,32,-1,2,1,-1,60.38
002915.jpg,27,-1,2,-1,-1,37.66
002922.jpg,32,-1,2,1,-1,54.22
002925.jpg,39,1,2,-1,-1,21.89
002929.jpg,48,-1,2,1,-1,38.88
002931.jpg,44,1,2,-1,-1,49.84
002934.jpg,26,1,1,-1,1,56.72
002936.jpg,24,-1,2,1,-1,52.66
002937.jpg,28,-1,2,1,-1,51.94
002963.jpg,38,1,3,-1,-1,24.47
002966.jpg,29,-1,2,2,-1,47.13
002972.jpg,23,1,1,-1,-1,57.19
002976.jpg,63,1,2,-1,-1,30.67
002987.jpg,49,1,3,1,1,26.81
002991.jpg,32,-1,2,-1,-1,48.63
002995.jpg,26,-1,2,-1,-1,66.13
003003.jpg,39,1,2,1,-1,53.06
003004.jpg,42,-1,2,1,-1,53.81
003016.jpg,34,-1,2,2,-1,44.53
003019.jpg,25,-1,2,1,-1,76.69
003026.jpg,41,-1,2,1,-1,54.31
003032.jpg,30,1,2,-1,-1,79.13
003038.jpg,26,-1,2,1,-1,55
003044.jpg,64,1,1,-1,1,19.06
003045.jpg,33,-1,2,1,1,52.69
003048.jpg,33,-1,3,1,-1,31.91
003066.jpg,53,1,2,2,-1,8.52
003074.jpg,31,-1,2,-1,-1,68.56
003080.jpg,23,-1,2,-1,-1,67.25
003086.jpg,36,1,2,-1,-1,59.41
003091.jpg,58,1,2,1,-1,15.67
003093.jpg,53,1,2,1,-1,22.53
003105.jpg,26,-1,2,1,-1,53.75
003106.jpg,28,-1,1,1,-1,74
003110.jpg,62,1,2,1,1,16.59
003117.jpg,26,-1,2,-1,-1,48.88
003123.jpg,30,-1,2,2,-1,64.19
003128.jpg,44,1,2,-1,-1,38.88
003132.jpg,36,-1,2,1,-1,59.03
003134.jpg,30,-1,1,-1,-1,57.75
003153.jpg,33,1,2,1,-1,59.66
003161.jpg,32,-1,2,1,-1,48.34
003175.jpg,46,-1,2,-1,-1,52.91
003183.jpg,25,-1,2,-1,-1,58.19
003202.jpg,33,-1,2,1,-1,64.75
003204.jpg,44,1,1,-1,-1,62.59
003210.jpg,36,1,3,-1,-1,61.44
003222.jpg,27,-1,2,-1,-1,79.38
003224.jpg,31,-1,2,-1,-1,57.81
003226.jpg,26,-1,2,-1,-1,65.44
003240.jpg,22,-1,1,1,-1,64.19
003246.jpg,26,1,3,-1,-1,50.94
003247.jpg,25,-1,2,-1,-1,69.13
003249.jpg,30,1,1,-1,-1,38.56
003250.jpg,25,-1,1,1,-1,65
003251.jpg,27,-1,2,-1,-1,81.81
003254.jpg,46,1,2,-1,-1,72
003255.jpg,28,-1,2,-1,-1,51.66
003268.jpg,34,-1,2,1,-1,58.81
003273.jpg,33,-1,2,1,-1,57.09
003287.jpg,34,-1,2,1,-1,60.28
003290.jpg,27,-1,2,-1,-1,79.19
003296.jpg,53,1,2,1,-1,14.75
003302.jpg,33,1,3,2,-1,45.28
003304.jpg,21,-1,1,1,-1,68.75
003309.jpg,34,1,2,-1,-1,68.56
003321.jpg,24,-1,2,-1,-1,80.81
003322.jpg,31,-1,2,-1,-1,56.03
003331.jpg,26,-1,2,-1,-1,70.44
003335.jpg,59,1,2,-1,-1,40.81
003339.jpg,31,-1,1,-1,-1,42.75
003340.jpg,33,-1,3,1,-1,27.7
003354.jpg,26,-1,2,-1,-1,78.13
003371.jpg,52,1,3,1,-1,18.98
003382.jpg,23,-1,2,-1,-1,53.28
003410.jpg,36,1,2,-1,-1,64.63
003411.jpg,34,-1,2,1,-1,64.94
003462.jpg,47,1,2,-1,-1,57.84
003464.jpg,36,1,2,1,-1,41.81
003470.jpg,24,-1,2,1,-1,74.63
003472.jpg,43,1,1,-1,1,29.34
003489.jpg,26,-1,2,1,-1,73.19
003504.jpg,34,1,2,-1,-1,64.81
003512.jpg,24,-1,2,-1,-1,74.63
003522.jpg,54,1,2,1,-1,50.03
003524.jpg,34,1,2,-1,-1,66
003536.jpg,29,-1,3,1,-1,51.88
003545.jpg,30,-1,2,1,-1,58.38
003546.jpg,34,1,2,1,-1,56.91
003551.jpg,34,1,2,-1,-1,71.19
003561.jpg,32,-1,2,-1,-1,61.22
003569.jpg,34,1,2,1,-1,64.31
003571.jpg,36,-1,2,1,-1,65.56
003575.jpg,27,-1,2,-1,-1,70.19
003579.jpg,29,-1,2,-1,-1,57.5
003584.jpg,46,1,2,1,-1,48.13
003585.jpg,43,1,1,1,-1,27.67
003595.jpg,42,1,2,-1,-1,57.84
003620.jpg,33,-1,2,1,-1,71.69
003622.jpg,31,1,3,-1,1,31.61
003630.jpg,43,1,2,1,-1,59.31
003634.jpg,22,1,1,1,-1,57.31
003639.jpg,45,1,2,1,-1,30.28
003644.jpg,43,1,3,1,-1,22.36
003647.jpg,25,-1,2,-1,-1,52.47
003649.jpg,28,-1,2,1,-1,71.69
003655.jpg,32,-1,2,-1,-1,49.72
003664.jpg,29,-1,2,-1,-1,60.31
003665.jpg,31,-1,2,1,-1,45.41
003668.jpg,44,1,2,1,-1,56.25
003671.jpg,28,-1,2,1,-1,80.44
003675.jpg,30,-1,2,-1,-1,49.13
003693.jpg,26,-1,2,-1,-1,72.25
003696.jpg,61,1,2,-1,-1,36.44
003697.jpg,32,-1,2,1,-1,72.25
003698.jpg,30,1,2,-1,-1,65.94
003716.jpg,29,-1,2,-1,-1,77.13
003718.jpg,34,1,2,1,-1,67
003719.jpg,33,-1,2,-1,-1,61.94
003741.jpg,27,-1,2,1,-1,44.31
003747.jpg,39,1,2,-1,-1,54.47
003749.jpg,25,-1,2,1,-1,64.13
003756.jpg,32,-1,2,1,-1,66.69
003767.jpg,33,-1,2,2,-1,66.06
003768.jpg,22,-1,2,1,-1,50.69
003771.jpg,28,-1,2,-1,-1,73.13
003773.jpg,46,1,2,-1,-1,14.62
003775.jpg,22,-1,2,-1,-1,61.78
003780.jpg,62,1,2,1,1,51.19
003789.jpg,33,-1,2,-1,-1,67.44
003793.jpg,33,-1,1,1,-1,58.06
003795.jpg,24,-1,2,-1,-1,63.88
003813.jpg,30,-1,2,-1,-1,53.63
003821.jpg,33,-1,2,-1,-1,67.56
003837.jpg,24,1,1,-1,1,53.84
003859.jpg,32,1,2,-1,-1,60.53
003879.jpg,34,1,2,1,-1,66.44
003885.jpg,32,1,2,-1,-1,78.94
003890.jpg,31,1,2,-1,-1,61.81
003892.jpg,24,-1,2,-1,-1,77.5
003899.jpg,41,-1,2,-1,-1,40.66
003901.jpg,30,-1,2,1,-1,49.47
003916.jpg,32,1,2,-1,-1,67.44
003926.jpg,32,-1,2,2,-1,62.81
003927.jpg,35,1,2,1,-1,64.5
003933.jpg,32,-1,2,1,-1,64.5
003934.jpg,54,-1,2,1,-1,49.91
003939.jpg,28,-1,2,-1,-1,71.38
003949.jpg,31,-1,2,1,-1,61.66
003952.jpg,23,-1,1,-1,-1,58.38
003955.jpg,32,1,3,-1,-1,32.94
003959.jpg,23,1,2,-1,-1,64.75
003960.jpg,34,-1,2,1,-1,64.25
003965.jpg,38,-1,2,1,-1,56.22
003977.jpg,61,1,2,-1,-1,47.28
003981.jpg,41,1,3,1,1,19.11
003983.jpg,30,1,1,1,-1,66.06
